,page_index,page_element_index,farm_id,user_name,farm_name,gender,spouse,pet_type,pet_name,total_earnings,favorite_thing,time_played,farming_skill,mining_skill,foraging_skill,fishing_skill,combat_skill
143,13575,6,1Ebcbq,Georgia,Sunshine,Female,Unmarried,NA,NA,0,Peaches,0.1 hours,0,0,0,0,0
144,7285,16,1IkYye,Аврора,Звездопад,Female,Unmarried,NA,NA,2390,Мармелад,1.9 hours,,,,,
145,15191,6,1CZc1C,Francis,Valley Nature,Male,Leah,dog,Duke,10128459,Fishing,160.3 hours,10,10,10,10,10
146,4334,3,1KEj0X,Katerina,Springfield,Female,Alex,dog,Zach,350313496,Flowers,95.1 hours,9,5,7,1,4
147,15986,1,1CsnAi,Adisa,Mossy Hollow,Female,Unmarried,dog,Sage,21746,Coffee,12.7 hours,5,4,5,5,3
148,2184,7,1MUbcO,Akmal,Pelican,Male,Unmarried,cat,Oren,3304013,Stardrop,74.4 hours,,,,,
149,14913,8,1DbZYb,老黑,逛逛,Male,Abigail,cat,鸡毛掸子,23950344,打篮球,57.9 hours,,,,,
150,14469,3,1Dvspr,Mari,Juniper,Female,Unmarried,NA,NA,4753,ice cream,3.6 hours,10,10,10,10,10
151,1809,7,1Nsr9E,Barry,Barry's,Male,Penny,dog,[166],4096147,shiney things,139.3 hours,,,,,
152,4157,7,1KT72Y,Lucas,Fazenda Luni,Male,Nick,dog,Pluto,10387402,Sushi,75.9 hours,,,,,
153,13453,11,1EiOL8,happy,mil,Female,Unmarried,dog,pup,4155,idol,2.9 hours,1,1,2,1,0
